time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-10-20T09:47:30.740Z,36.6638336,-121.3206635,5.36,1.64,md,14,106,0.05308,0.15,nc,nc73641865,2021-10-20T10:56:12.422Z,"14km S of Tres Pinos, CA",earthquake,0.56,1.22,0.2,11,automatic,nc,nc
2021-10-20T09:46:06.260Z,40.6251678,-122.4250031,21.49,2.4,md,8,136,0.08203,0.09,nc,nc73641860,2021-10-20T13:13:11.934Z,"6km ENE of Shasta, CA",earthquake,0.72,0.63,0.15,8,automatic,nc,nc
2021-10-20T09:36:06.760Z,33.3593333,-116.356,5.26,0.41,ml,27,67,0.03383,0.18,ci,ci39838159,2021-10-20T16:53:10.817Z,"12km N of Borrego Springs, CA",earthquake,0.3,0.43,0.038,8,reviewed,ci,ci
2021-10-20T09:35:36.013Z,64.4259,-146.6863,4.5,1.6,ml,,,,0.59,ak,ak021dgq15z4,2021-10-20T09:40:17.783Z,"7 km NW of Harding-Birch Lakes, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-10-20T09:31:24.070Z,33.149,-115.6221667,5.8,1.58,ml,38,56,0.02892,0.19,ci,ci39838151,2021-10-20T16:45:21.050Z,"10km WNW of Calipatria, CA",earthquake,0.16,0.25,0.267,14,reviewed,ci,ci
2021-10-20T09:30:11.580Z,19.1803340911865,-155.474166870117,36.0400009155273,1.86000001,md,37,151,,0.109999999,hv,hv72763372,2021-10-20T09:33:16.160Z,"2 km S of Pāhala, Hawaii",earthquake,0.73,1.01999998,1.23000002,3,automatic,hv,hv
2021-10-20T09:29:46.440Z,46.7995,-121.9415,6.15,0.65,ml,12,151,0.04254,0.09,uw,uw61782742,2021-10-20T16:26:01.130Z,"8 km ENE of Ashford, Washington",earthquake,0.31,0.52,0.147249644973588,3,reviewed,uw,uw
2021-10-20T09:23:24.954Z,38.1458,-118.0174,4.4,1.5,ml,20,123.5,0.031,0.135,nn,nn00826237,2021-10-20T18:01:35.251Z,"28 km SSE of Mina, Nevada",earthquake,,1,0.37,10,reviewed,nn,nn
2021-10-20T09:23:23.459Z,61.679,-150.0149,38.3,1.7,ml,,,,0.54,ak,ak021dgpykel,2021-10-20T09:29:56.444Z,"7 km S of Willow, Alaska",earthquake,,1.6,,,automatic,ak,ak
2021-10-20T09:21:11.485Z,-8.2556,116.7935,10,4.8,mb,,66,2.622,0.86,us,us6000fw2t,2021-10-20T09:46:04.589Z,"30 km NNE of Labuan Lombok, Indonesia",earthquake,7.3,1.9,0.116,23,reviewed,us,us
2021-10-20T09:04:15.240Z,34.1215,-117.4848333,4.5,0.85,ml,22,90,0.04404,0.14,ci,ci39838143,2021-10-20T16:36:15.644Z,"4km NW of Fontana, CA",earthquake,0.25,0.37,0.216,7,reviewed,ci,ci
2021-10-20T08:58:01.450Z,19.1608333587646,-155.475326538086,32.9300003051758,1.83000004,md,37,111,,0.119999997,hv,hv72763337,2021-10-20T09:01:11.970Z,"4 km S of Pāhala, Hawaii",earthquake,0.55,0.870000005,0.0199999996,5,automatic,hv,hv
2021-10-20T08:57:15.770Z,36.6800003,-121.3141632,7.78,3.73,mw,58,32,0.05094,0.15,nc,nc73641850,2021-10-20T18:43:58.500Z,"12km S of Tres Pinos, CA",earthquake,0.24,0.61,,4,reviewed,nc,nc
2021-10-20T08:52:50.720Z,36.6793327,-121.3115005,4.82,2.77,md,41,87,0.04944,0.09,nc,nc73641845,2021-10-20T12:40:12.958Z,"12km S of Tres Pinos, CA",earthquake,0.21,0.88,0.15,45,automatic,nc,nc
2021-10-20T08:45:06.828Z,62.2353,-150.0191,53.9,1.8,ml,,,,0.63,ak,ak021dgphta2,2021-10-20T17:27:02.580Z,"10 km SSE of Talkeetna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-10-20T08:42:04.340Z,63.5077,-147.7693,0,1.6,ml,,,,0.72,ak,ak021dgph5xk,2021-10-20T08:47:11.360Z,"60 km ENE of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-10-20T08:35:18.110Z,36.2198333,-117.8491667,3.21,0.95,ml,25,115,0.1021,0.13,ci,ci39838127,2021-10-20T16:30:46.811Z,"16km ESE of Olancha, CA",earthquake,0.2,0.49,0.178,10,reviewed,ci,ci
2021-10-20T08:19:41.970Z,38.8055,-122.8201675,2.13,0.63,md,8,89,0.007802,0.01,nc,nc73641840,2021-10-20T08:21:18.653Z,"6km WNW of The Geysers, CA",earthquake,0.63,1.3,,1,automatic,nc,nc
2021-10-20T08:19:32.402Z,61.386,-146.749,20.6,1.8,ml,,,,0.81,ak,ak021dgpcamz,2021-10-20T08:23:48.601Z,"35 km NW of Valdez, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-10-20T08:04:19.987Z,67.1497,-141.875,0,2.6,ml,,,,0.94,ak,ak021dgp91xq,2021-10-20T08:08:56.820Z,"97 km ENE of Chalkyitsik, Alaska",earthquake,,0.7,,,automatic,ak,ak
2021-10-20T08:03:26.520Z,31.66063292,-104.341491,6.979931641,2.9,ml,29,66,0.1360305337,0.3,tx,tx2021uocw,2021-10-20T08:33:18.919Z,"57 km S of Whites City, New Mexico",earthquake,1.278817198,1.836234371,0.1,26,reviewed,tx,tx
2021-10-20T07:50:35.980Z,19.2023334503174,-155.435333251953,33.1199989318848,2.27,ml,51,136,,0.109999999,hv,hv72763287,2021-10-20T07:56:07.860Z,"4 km E of Pāhala, Hawaii",earthquake,0.48,0.689999998,3.62,11,automatic,hv,hv
2021-10-20T07:39:07.990Z,35.6293333,-117.4591667,8.54,1.03,ml,26,115,0.04281,0.14,ci,ci39838111,2021-10-20T16:25:30.123Z,"16km SSW of Searles Valley, CA",earthquake,0.22,0.45,0.174,12,reviewed,ci,ci
2021-10-20T07:34:34.110Z,34.8303333,-119.0373333,11.8,1.56,ml,23,75,0.07847,0.25,ci,ci39838103,2021-10-20T15:16:12.255Z,"8km W of Frazier Park, CA",earthquake,0.36,0.66,0.225,6,reviewed,ci,ci
2021-10-20T07:26:03.400Z,38.7973328,-122.8168335,4.65,0.38,md,11,91,0.01402,0.04,nc,nc73641830,2021-10-20T08:15:12.879Z,"6km WNW of The Geysers, CA",earthquake,0.55,1.87,0.25,2,automatic,nc,nc
2021-10-20T07:25:52.320Z,44.1948,-115.108,10.87,3.1,ml,,43,0.807,0.77,us,us6000fw26,2021-10-20T14:42:37.470Z,"13 km W of Stanley, Idaho",earthquake,1.7,10.4,0.049,54,reviewed,us,us
2021-10-20T07:17:42.330Z,37.7603333,-122.2385,4.95,1.1,md,28,74,0.004774,0.09,nc,nc73641820,2021-10-20T10:47:15.951Z,"1km SSE of Alameda, CA",earthquake,0.24,0.26,0.212,18,reviewed,nc,nc
2021-10-20T07:09:00.768Z,56.3566,-156.6204,18,2.6,ml,,,,0.28,ak,ak021dgoonfg,2021-10-20T07:12:10.910Z,"110 km E of Chignik, Alaska",earthquake,,1.2,,,automatic,ak,ak
2021-10-20T07:05:32.200Z,18.0288,-66.7865,14,2.66,md,12,122,0.1808,0.11,pr,pr2021293001,2021-10-20T13:30:06.997Z,"1 km NNE of Guayanilla, Puerto Rico",earthquake,0.41,0.46,0.22,7,reviewed,pr,pr
2021-10-20T07:04:42.970Z,52.3088333333333,-174.191,5.37,1.19,ml,6,260,,0.14,av,av91395871,2021-10-20T18:44:16.960Z,"12 km N of Atka, Alaska",earthquake,0.68,0.92,0.1901952504496,6,reviewed,av,av
2021-10-20T07:01:20.570Z,35.9078333,-117.6828333,9.15,0.56,ml,16,75,0.04788,0.09,ci,ci39838087,2021-10-20T16:20:42.265Z,"20km E of Little Lake, CA",earthquake,0.16,0.37,0.176,5,reviewed,ci,ci
2021-10-20T06:53:01.370Z,19.1681671142578,-155.475173950195,34.3699989318848,1.75999999,md,35,87,,0.140000001,hv,hv72763217,2021-10-20T06:56:20.260Z,"3 km S of Pāhala, Hawaii",earthquake,0.53,0.810000002,0.829999983,7,automatic,hv,hv
2021-10-20T06:51:41.380Z,48.2625,-123.172833333333,45.01,1.57,ml,22,52,0.1818,0.22,uw,uw61782732,2021-10-20T16:16:13.710Z,"16 km NNW of Jamestown, Washington",earthquake,0.47,0.94,0.18262189782594,10,reviewed,uw,uw
2021-10-20T06:45:38.370Z,19.1660003662109,-155.47900390625,31.7999992370605,2.44,ml,49,151,,0.129999995,hv,hv72763212,2021-10-20T07:40:33.040Z,"4 km S of Pāhala, Hawaii",earthquake,0.56,0.790000021,4.11,15,automatic,hv,hv
2021-10-20T06:38:29.655Z,-11.8553,166.8466,205.22,5.1,mb,,48,3.587,0.78,us,us6000fw20,2021-10-20T06:59:14.383Z,"169 km SE of Lata, Solomon Islands",earthquake,9.3,7.1,0.042,188,reviewed,us,us
2021-10-20T06:37:03.200Z,33.2425,-116.0063333,3.75,1.23,ml,52,39,0.04124,0.19,ci,ci39838079,2021-10-20T16:17:38.670Z,"8km SW of Salton City, CA",earthquake,0.16,0.29,0.175,17,reviewed,ci,ci
2021-10-20T06:34:51.880Z,34.2041667,-117.5861667,9.31,1.08,ml,43,62,0.06922,0.17,ci,ci39838071,2021-10-20T16:03:20.700Z,"9km N of Rancho Cucamonga, CA",earthquake,0.19,0.35,0.168,22,reviewed,ci,ci
2021-10-20T06:30:18.483Z,66.3889,-149.0008,0,1.6,ml,,,,1.11,ak,ak021dgo7r56,2021-10-20T06:35:26.756Z,"42 km N of Stevens Village, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-10-20T06:27:48.170Z,33.1965,-115.5751667,3.05,1.49,ml,26,81,0.03889,0.17,ci,ci39838063,2021-10-20T15:26:50.998Z,"7km SW of Niland, CA",earthquake,0.16,0.21,0.21,9,reviewed,ci,ci
2021-10-20T06:25:10.450Z,34.3108333,-116.8883333,9.65,1.59,ml,39,42,0.05536,0.15,ci,ci39838055,2021-10-20T13:44:55.550Z,"7km NW of Big Bear City, CA",earthquake,0.21,0.41,0.12,27,reviewed,ci,ci
2021-10-20T06:16:41.583Z,61.4156,-150.3348,47,1.6,ml,,,,0.48,ak,ak021dgo4szf,2021-10-20T06:21:05.033Z,"17 km SSE of Susitna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-10-20T06:10:51.668Z,-2.3171,139.2108,43.93,4.9,mb,,124,6.98,1.12,us,us6000fw1u,2021-10-20T06:31:43.040Z,"161 km W of Abepura, Indonesia",earthquake,7.8,8.2,0.073,60,reviewed,us,us
2021-10-20T05:59:28.290Z,60.0613,-152.7916,92.2,1.9,ml,,,,0.58,ak,ak021dgnsk5q,2021-10-20T06:10:43.709Z,"60 km WNW of Happy Valley, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-10-20T05:55:56.470Z,17.9646,-66.8205,11,2.12,md,16,167,0.2238,0.14,pr,pr2021293000,2021-10-20T06:14:35.885Z,"3 km S of Indios, Puerto Rico",earthquake,0.41,0.51,0.16,7,reviewed,pr,pr
2021-10-20T05:51:23.520Z,38.7941666,-122.8131638,2.57,1.45,md,25,74,0.00981,0.05,nc,nc73641790,2021-10-20T06:58:12.418Z,"5km WNW of The Geysers, CA",earthquake,0.26,0.43,0.06,9,automatic,nc,nc
